protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
24,0.013983646,0.013842176,0.01308721,0.012167387,0.011360364,0.010681354,0.010105044,0.009599532,0.009155271,0.008762044,0.008408276,0.008093909,0.007813411,0.007559748,0.007330161,0.007125163,0.00694135,0.00677895,0.006628317,0.00649551,0.006373654
25,0.015483043,0.015368995,0.014672353,0.013722648,0.012842104,0.012076564,0.011413704,0.010830632,0.010320129,0.009860028,0.009451756,0.00908796,0.008758044,0.008463887,0.008201391,0.00796165,0.007746952,0.007556813,0.007385448,0.007228633,0.007090071
26,0.016778879,0.016694086,0.016059179,0.015110157,0.014174623,0.013334744,0.012598776,0.011949159,0.011367114,0.010849819,0.010386738,0.009974734,0.009604671,0.009273,0.008974264,0.008706118,0.008464614,0.008248625,0.008054937,0.007881502,0.007725182
27,0.017734187,0.017669257,0.017105702,0.016180338,0.015224614,0.014333,0.013535256,0.012822452,0.012193896,0.011631403,0.011123162,0.010667474,0.010264202,0.009900911,0.009574063,0.009282379,0.009019346,0.008781912,0.008570838,0.008380962,0.008207285
28,0.018244164,0.018193645,0.017709838,0.016835393,0.015869737,0.014959198,0.014126222,0.013378859,0.012707549,0.012107323,0.011573313,0.011098075,0.010664081,0.010280526,0.009934739,0.009623571,0.009345588,0.009094679,0.008868734,0.008668074,0.008486337
29,0.018248849,0.018207813,0.017803757,0.017000185,0.016066726,0.01515475,0.014312726,0.013545832,0.012859291,0.012247182,0.011696125,0.011207159,0.010762706,0.010367104,0.010011843,0.009694384,0.009405466,0.00914924,0.008918459,0.008711393,0.008522827
30,0.017737174,0.017708229,0.017377866,0.016655708,0.01578435,0.014897622,0.014068707,0.013313614,0.012630004,0.012023428,0.011474845,0.010989757,0.010545369,0.010153976,0.009799583,0.009481623,0.009198863,0.008944651,0.008712348,0.008506269,0.008320302
31,0.016753923,0.016729632,0.016470412,0.015845412,0.015042166,0.014211118,0.013421309,0.012699418,0.012045949,0.011458091,0.010932092,0.010457543,0.010032816,0.009654447,0.009313031,0.00901008,0.008735633,0.008491006,0.008268514,0.008069729,0.007889399
32,0.015381082,0.015366537,0.015160368,0.01462998,0.01392003,0.013162315,0.01243167,0.011761286,0.011155374,0.010600907,0.010112038,0.009665663,0.009274617,0.008916922,0.008598725,0.008314833,0.008061906,0.007826593,0.007622435,0.007437977,0.007268727
33,0.013729371,0.013716086,0.01356303,0.013127345,0.012511866,0.011845614,0.011189966,0.010583905,0.010030544,0.009534297,0.009084974,0.008683686,0.008326,0.008002908,0.007716572,0.007456901,0.0072267,0.007012677,0.006826676,0.00665885,0.006509069
34,0.011918088,0.011912431,0.011797919,0.011445547,0.010930221,0.010355905,0.009784849,0.009251637,0.008769787,0.008332282,0.007936527,0.007584082,0.007268541,0.006983669,0.006729894,0.006502466,0.006297729,0.006112401,0.005948055,0.005800903,0.005665992
35,0.010070479,0.010063995,0.009981369,0.009709165,0.009285257,0.00880365,0.008321501,0.00786966,0.007456134,0.007080623,0.006744019,0.006442293,0.006171061,0.005928187,0.005710578,0.005514174,0.005339552,0.005182846,0.005039866,0.004913724,0.004800063
36,0.008284175,0.008278949,0.008221067,0.008012725,0.007673691,0.007285445,0.006887141,0.006512094,0.006167129,0.005855873,0.005576372,0.005325921,0.005099447,0.004896921,0.004715199,0.004553256,0.0044073,0.004275801,0.004158493,0.004053297,0.003958116
37,0.006638227,0.00663546,0.006594515,0.006439873,0.006179375,0.005868005,0.005551577,0.005248399,0.004969725,0.00471659,0.004490398,0.004285922,0.004103271,0.003939698,0.00379278,0.003660772,0.003542528,0.003436213,0.003341172,0.003255612,0.003178879
38,0.005184645,0.005182651,0.005155249,0.005042701,0.004845062,0.004605255,0.004357396,0.004120125,0.003900826,0.003701612,0.003521878,0.003362136,0.0032173,0.003088323,0.002973073,0.002868214,0.002775404,0.002691579,0.002616458,0.00254886,0.002488344
39,0.003948959,0.003947943,0.003929864,0.003849896,0.003703907,0.003523597,0.003335043,0.003153191,0.002984889,0.002831846,0.002694693,0.002570861,0.002459617,0.002360849,0.002271688,0.002191512,0.002119842,0.002055176,0.001997616,0.001945923,0.001898805
40,0.002934984,0.002934477,0.00292213,0.002866791,0.002762604,0.002630042,0.002489781,0.002353778,0.002228008,0.002113262,0.002010264,0.001917243,0.001834353,0.001759875,0.001692802,0.001633286,0.001579303,0.001531473,0.001487922,0.001449234,0.001413676
41,0.002129809,0.002129607,0.002121802,0.002084043,0.002010722,0.001915519,0.00181388,0.00171521,0.001623235,0.001539227,0.001463997,0.001395966,0.0013352,0.001280564,0.00123188,0.001188104,0.001148591,0.001113365,0.001081907,0.001053035,0.001027938
42,0.001509395,0.001508966,0.001504048,0.001479817,0.001429139,0.001362141,0.001290525,0.001220035,0.001154724,0.001095093,0.001041037,9.92E-04,9.49E-04,9.10E-04,8.75E-04,8.44E-04,8.16E-04,7.91E-04,7.68E-04,7.48E-04,7.30E-04
43,0.001045523,0.001045127,0.001042387,0.001026275,9.92E-04,9.47E-04,8.97E-04,8.48E-04,8.03E-04,7.61E-04,7.23E-04,6.90E-04,6.59E-04,6.32E-04,6.08E-04,5.86E-04,5.66E-04,5.49E-04,5.33E-04,5.19E-04,5.06E-04
